Clock Cycles per Ship
Number of Ships,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,
2,260260.000000,14797.500000,9980.500000,10546.000000,10479.500000,10741.000000,10931.500000,10822.500000,17832.500000,10788.500000,11573.500000,14366.500000,10179.000000,9411.500000,9849.000000,10527.000000,10233.500000,9457.000000,9280.500000,10112.500000,
20,2721.949951,2668.649902,2600.850098,2704.850098,2658.949951,2551.149902,2624.449951,2957.300049,2510.350098,3894.600098,2718.399902,5531.049805,2660.850098,2582.250000,2823.550049,3002.949951,2578.899902,2570.350098,2735.699951,2784.899902,
200,7508.265137,5895.740234,5940.919922,5905.270020,6931.470215,5975.060059,5935.379883,5813.404785,6214.890137,6012.044922,6006.129883,6043.564941,6057.834961,6224.870117,6368.444824,6697.890137,6180.725098,5956.584961,7160.740234,5915.100098,
2000,54505.210938,52225.671875,52664.468750,54399.703125,54762.230469,53563.531250,54466.929688,53568.046875,53610.207031,52986.343750,52661.667969,53433.269531,53407.742188,53695.058594,53060.332031,53480.984375,53196.789062,52838.746094,51806.183594,51693.980469,
20000,502471.125000,506072.781250,502753.031250,497349.687500,495350.218750,501365.406250,515672.625000,517987.750000,505531.687500,495218.031250,501702.250000,511089.906250,496968.656250,504193.281250,497696.906250,503886.218750,504170.562500,503888.781250,496744.906250,503740.062500,
