Total Number of Clock Cycles
Number of Ships,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,
2,520520,29595,19961,21092,20959,21482,21863,21645,35665,21577,23147,28733,20358,18823,19698,21054,20467,18914,18561,20225,
20,54439,53373,52017,54097,53179,51023,52489,59146,50207,77892,54368,110621,53217,51645,56471,60059,51578,51407,54714,55698,
200,1501653,1179148,1188184,1181054,1386294,1195012,1187076,1162681,1242978,1202409,1201226,1208713,1211567,1244974,1273689,1339578,1236145,1191317,1432148,1183020,
2000,109010425,104451341,105328933,108799410,109524468,107127066,108933856,107136095,107220414,105972684,105323334,106866538,106815491,107390118,106120662,106961964,106393578,105677497,103612364,103387962,
20000,10049422038,10121455396,10055060090,9946994064,9907004900,10027307700,10313452628,10359754648,10110633648,9904360040,10034045200,10221798395,9939373219,10083865103,9953938842,10077724866,10083410598,10077776223,9934898117,10074800649,
